DATE,DISTRICT,MARKET,COMMODITY,VARIETY,ARRIVALS,UNITS,MIN PRICE,MAX PRICE,MODAL PRICE,Unit of Price
16-09-2013,hyderabad,bowenpally,Beetroot,Beetroot,16.1,Tonnes,400,1200,1000,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Bitter gourd,Bitter Gourd,9,Tonnes,800,2000,1200,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Bottle gourd,Bottle Gourd,4,Tonnes,600,1200,800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Brinjal,Brinjal,12.8,Tonnes,800,2000,1600,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Cabbage,Cabbage,107.7,Tonnes,400,1200,800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Capsicum,Capsicum,10.9,Tonnes,1000,2800,2500,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Carrot,Carrot,43.8,Tonnes,1000,3200,2500,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Cauliflower,Cauliflower,13,Tonnes,600,1200,800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Cluster beans,Cluster Beans,13.2,Tonnes,1000,2000,1600,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Cucumbar,Cucumbar,10,Tonnes,600,1500,1000,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Drumstick,Drumstick,10.5,Tonnes,1000,2400,1800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Field Pea,Field Pea,4.7,Tonnes,1000,3000,2500,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Green Chilly,Green Chilly,81.3,Tonnes,500,1200,800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Ladies Finger,Ladies Finger,33.2,Tonnes,500,2000,1800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Onion,Onion,5,Tonnes,3000,4000,3500,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Mango,Other,0.8,Tonnes,1200,1200,1200,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Groundnut,Other,1,Tonnes,1500,2500,2000,Rs./Quintal
16-09-2013,hyderabad,bowenpally,French Beans (Frasbean),Other,5.3,Tonnes,1500,2500,2000,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Potato,Potato,176.5,Tonnes,600,1200,1100,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Pumpkin,Pumpkin,8.6,Tonnes,400,600,500,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Raddish,Raddish,1.7,Tonnes,200,400,300,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Ridgeguard,Ridgeguard,48.2,Tonnes,600,1500,1000,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Snakeguard,Snakeguard,1.2,Tonnes,600,1000,800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Tomato,Tomato,185.7,Tonnes,600,1500,800,Rs./Quintal
16-09-2013,hyderabad,bowenpally,Yam,Yam,3.7,Tonnes,600,1000,800,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Apple,Apple,11695,Boxes,400,1200,700,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Grapes,Black,2950,Boxes,100,200,130,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Guava,Guava,142,Boxes,50,150,60,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Karbuja,Karbhuja,4,Tonnes,2000,5000,3000,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Mousambi,Mousambi,828,Tonnes,5000,13000,7000,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Orange,Orange,558,Boxes,150,400,250,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Papaya,Papaya,20,Tonnes,5,16,10,Rs./Quintal
16-09-2013,hyderabad,gaddiannaram,Water Melon,Water Melon,8,Tonnes,2000,3000,2500,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Beetroot,Beetroot,1.5,Tonnes,800,1000,900,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Bitter gourd,Bitter Gourd,1.9,Tonnes,1000,1500,1200,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Bottle gourd,Bottle Gourd,1,Tonnes,300,500,400,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Brinjal,Brinjal,5,Tonnes,1300,1500,1400,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Cabbage,Cabbage,15.6,Tonnes,600,1000,800,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Capsicum,Capsicum,1.5,Tonnes,1000,2000,1500,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Carrot,Carrot,2.8,Tonnes,800,1200,1000,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Cauliflower,Cauliflower,0.4,Tonnes,800,1200,1000,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Cucumbar,Cucumbar,1,Tonnes,600,800,700,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Green Chilly,Green Chilly,13.6,Tonnes,80,1200,1000,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Ladies Finger,Ladies Finger,8,Tonnes,1300,1500,1400,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,French Beans (Frasbean),Other,2,Tonnes,2500,3500,3000,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Potato,Potato,6,Tonnes,800,1200,1000,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Ridgeguard,Ridgeguard,6.7,Tonnes,600,1000,800,Rs./Quintal
16-09-2013,hyderabad,gudimalkapur,Tomato,Tomato,48.9,Tonnes,1000,1500,1200,Rs./Quintal
16-09-2013,hyderabad,mahaboob mansion,Dry Chillies,1st Sort,6.6,Tonnes,3600,6600,5100,Rs./Quintal
16-09-2013,hyderabad,mahaboob mansion,Onion,1st Sort,559.6,Tonnes,4800,5200,5000,Rs./Quintal
16-09-2013,hyderabad,mahaboob mansion,Dry Chillies,2nd Sort,9.8,Tonnes,3000,3500,3200,Rs./Quintal
16-09-2013,hyderabad,mahaboob mansion,Onion,2nd Sort,839.4,Tonnes,2800,4000,3000,Rs./Quintal
16-09-2013,hyderabad,mahaboob mansion,Dry Chillies,3rd Sort,16.4,Tonnes,2200,2800,2500,Rs./Quintal
16-09-2013,hyderabad,mahaboob mansion,Tamarind Fruit,Tamarind Fruit,5.4,Tonnes,4200,7400,5800,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Beetroot,Beetroot,19,Tonnes,600,1000,800,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Bitter gourd,Bitter Gourd,9.3,Tonnes,1000,2000,1500,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Bottle gourd,Bottle Gourd,3.9,Tonnes,600,1200,1000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Brinjal,Brinjal,25.1,Tonnes,800,2000,1500,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Cabbage,Cabbage,113.7,Tonnes,400,1200,1000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Capsicum,Capsicum,10.4,Tonnes,1000,2600,1800,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Carrot,Carrot,63.8,Tonnes,500,2500,1500,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Cauliflower,Cauliflower,31.1,Tonnes,500,1200,900,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Cluster beans,Cluster Beans,6.8,Tonnes,800,2000,1600,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Cucumbar,Cucumbar,15.8,Tonnes,500,1400,1000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Drumstick,Drumstick,16.9,Tonnes,1000,3000,2000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Field Pea,Field Pea,6.8,Tonnes,800,2500,2000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Green Chilly,Green Chilly,39.1,Tonnes,800,2500,2000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Ladies Finger,Ladies Finger,16,Tonnes,1000,2000,1500,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Onion,Onion,5.8,Tonnes,2500,3000,2750,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Mango,Other,0.5,Tonnes,800,1600,1300,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Groundnut,Other,1.3,Tonnes,2300,2500,2400,Rs./Quintal
17-09-2013,hyderabad,bowenpally,French Beans (Frasbean),Other,6.6,Tonnes,2000,4000,3000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Potato,Potato,202.5,Tonnes,700,1300,1000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Pumpkin,Pumpkin,5,Tonnes,400,800,600,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Raddish,Raddish,1.5,Tonnes,100,400,300,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Ridgeguard,Ridgeguard,25.7,Tonnes,600,1200,800,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Snakeguard,Snakeguard,2.3,Tonnes,500,1000,800,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Tomato,Tomato,166.6,Tonnes,600,1400,1000,Rs./Quintal
17-09-2013,hyderabad,bowenpally,Yam,Yam,6.6,Tonnes,700,1200,1000,Rs./Quintal
17-09-2013,hyderabad,gaddiannaram,Apple,Apple,13277,Boxes,400,1250,700,Rs./Quintal
17-09-2013,hyderabad,gaddiannaram,Guava,Guava,353,Boxes,50,150,60,Rs./Quintal
17-09-2013,hyderabad,gaddiannaram,Karbuja,Karbhuja,4,Tonnes,200,600,300,Rs./Quintal
17-09-2013,hyderabad,gaddiannaram,Mousambi,Mousambi,527,Tonnes,500,1320,700,Rs./Quintal
